Restaurant Names,Rating,Rating Count,Coordinates,Addresses
Lebanon,4.5,46 reviews,"40.189445,44.514980",
Crepe de Paris,5.0,1 review,Not available,"Teryan 19, Yerevan 0013 Armenia"
Karas national food chain,5.0,10 reviews,"40.154823,44.510113",
Fabrica,5.0,82 reviews,"40.186405,44.508659",
Central Park,4.5,3 reviews,Not available,"Gazar Parpyettsi str. 13/6, Yerevan 0002 Armenia"
8th Wonder Restaurant,3.5,5 reviews,"40.180462,44.496807",
Tumanyan Shaurma,No rating,0 reviews,"40.206612,44.512936",
Casa de Espana,4.5,36 reviews,"40.188511,44.518089",
Pepper Burger Bar,4.5,9 reviews,"40.185093,44.510548",
Tashir Pizza,2.0,1 review,"40.174335,44.510445",
Tavern Yerevan Riverside,5.0,233 reviews,"40.172729,44.498272",
Club Burger,No rating,0 reviews,"40.188435,44.521515",
