Restaurant Names,Rating,Rating Count,Coordinates,Addresses
Bottega Del Vino by Aperitivo,5.0,1 review,Not available,"Tumanyan O. str. 34, Yerevan 0001 Armenia"
Local's by Baguettes & Delices,4.5,30 reviews,"40.188644,44.517372",
Giovanni Restaurant and Jisnots Bar,5.0,5 reviews,"40.188408,44.516289",
Mojo,No rating,0 reviews,Not available,"Admiral Isakov Ave., 2/1, Yerevan 0004 Armenia"
Khatoon,No rating,0 reviews,Not available,"10.Tumanyan str. 9/1, Yerevan 0060 Armenia"
Art Cafe Van Gogh,4.5,31 reviews,"40.185635,44.512482",
Urartu Restaurant,3.5,8 reviews,"40.182209,44.499020",
Novelletta,No rating,0 reviews,Not available,"Koryun19/1, Yerevan 0009 Armenia"
Rawshe Restaurant,No rating,0 reviews,Not available,"Khanjyan 33, Yerevan 0010 Armenia"
Yard Yerevan,5.0,32 reviews,"40.188049,44.522221",
Byblos Grill and Bakery,5.0,17 reviews,"40.183640,44.509304",
Zangou Restaurant Complex,4.0,2 reviews,"40.192478,44.483536",
The Tolma,5.0,262 reviews,"40.182556,44.516979",
Keerk&Co,5.0,1 review,"40.189274,44.512852",
John 3:16 Street Food,5.0,2 reviews,"40.177605,44.518940",
Skyline Restaurant & Bar,5.0,1 review,"40.176765,44.522827",
Rooftop Official,4.5,10 reviews,"40.184361,44.501751",
Don Quixote Restaurant,4.5,14 reviews,"40.146774,44.490906",
"Miracle, Yerevan",2.5,2 reviews,Not available,"Hrazdan River - Gorge, Yerevan 0013 Armenia"
Devin or Tevin,4.0,1 review,Not available,"Tumanyan street, Yerevan Armenia"
Modi Art Cafe,4.0,4 reviews,"40.187046,44.509693",
Smoking Hookah Lounge,No rating,0 reviews,Not available,"Komitas ave 8, Yerevan 0033 Armenia"
Torro Grill,No rating,0 reviews,Not available,"Aram St.,35, Yerevan 0002 Armenia"
Caucasus Tavern,4.0,463 reviews,"40.233608,44.438183",
DIVINO Wine Bar,4.0,19 reviews,"40.188797,44.515408",
Beirut Bar & Restaurant,4.5,21 reviews,"40.189308,44.514820",
Ayas-Kilikia,4.0,71 reviews,"40.178711,44.521820",
Old Friends Eco Tavern,4.0,11 reviews,"40.176426,44.515366",
Factory,4.5,6 reviews,Not available,"Parpyetsi str. 14, Yerevan 0002 Armenia"
New Astral Cafe,5.0,1 review,"40.155704,44.524937",
Bellagio Restaurant,4.5,34 reviews,"40.192406,44.533051",
Simona Bar,4.5,24 reviews,"40.183823,44.507786",
Hookah Town,5.0,3 reviews,"40.182076,44.517334",
Tun Lahmajo,4.5,183 reviews,"40.182873,44.514538",
Chaihona,4.0,109 reviews,"40.182903,44.515026",
Process,3.5,2 reviews,Not available,"Saryan 1a, Yerevan 001 Armenia"
Old Beijing,3.5,51 reviews,"40.179764,44.521046",
Art Lunch,No rating,0 reviews,"40.173443,44.506088",
Aintab Lahmajoun,4.5,16 reviews,Not available,"Tumanian Street, Yerevan Armenia"
Shah Pizza,2.5,24 reviews,Not available,"Mashtots M. ave 34/1, Yerevan 0002 Armenia"
Askana Restaurant,No rating,0 reviews,Not available,"Pushkina st., 15a, Yerevan Armenia"
MAMA JAN,5.0,3 reviews,"40.174946,44.509510",
Master Chef,5.0,5 reviews,"40.180145,44.510796",
Meeting Point Cafe,4.0,46 reviews,"40.177864,44.511692",
Real Yummy Bagels,1.0,1 review,"40.182140,44.518318",
Meloman Restaurant,4.0,6 reviews,"40.188217,44.519718",
Artashi Mot,4.0,355 reviews,"40.171173,44.517700",
KFC,4.0,19 reviews,Not available,"Northern Avenue 1, Yerevan 0013 Armenia"
Melrose Pub & Bar,4.5,30 reviews,"40.182938,44.512314",
W1neroom,5.0,1 review,"40.187271,44.509979",
The Park Cafe,4.0,32 reviews,"40.188202,44.520382",
Grammy,4.0,22 reviews,"40.185532,44.516228",
Abovyan 12,4.0,173 reviews,"40.180832,44.516155",
Arami Restaurant,5.0,16 reviews,"40.180573,44.512329",
Retro Cafe,4.0,51 reviews,"40.190002,44.515503",
Wheelbury Sweets,4.5,2 reviews,"40.181881,44.512371",
Grtnak,5.0,3 reviews,"40.185131,44.509087",
In Vino,5.0,586 reviews,"40.186928,44.509029",
EG Smoke Restaurant,5.0,1 review,"40.185177,44.524120",
Martini Royale,4.5,56 reviews,"40.181736,44.516754",
Pekin,3.5,7 reviews,"40.180813,44.522575",
Karap Cafe,4.0,5 reviews,"40.175858,44.522923",
Balatoon Cherry House,4.5,10 reviews,"40.201988,44.497242",
Karas Nor-Nork,3.5,17 reviews,"40.200672,44.566261",
Yerevan Tun,3.5,8 reviews,"40.179699,44.516483",
Kavkazskaya Plennitsa,4.0,"1,156 reviews","40.179485,44.510376",
Falafel Al Darwandy,5.0,5 reviews,"40.164471,44.513973",
moscafe,4.0,41 reviews,"40.182064,44.517334",
Tsirani Home Restaurant,4.5,170 reviews,"40.182034,44.515396",
X-planet,4.5,3 reviews,Not available,"Komitas ave 56/4, Yerevan 0014 Armenia"
Espress It,No rating,0 reviews,"40.183601,44.514446",
Malocco Cafe,4.5,220 reviews,"40.189018,44.514973",
Giardino,5.0,4 reviews,"40.192238,44.504166",
Bake Point,4.5,2 reviews,"40.189171,44.515869",
Beer Academy Ethnograph,3.0,1 review,"40.180801,44.515614",
Family Cafe,No rating,0 reviews,"40.183762,44.508060",
Afamia,No rating,0 reviews,Not available,"62 Republic Street 1, Yerevan 00001 Armenia"
Mon Cafe,4.0,39 reviews,"40.179512,44.510651",
Subtitle,4.0,19 reviews,"40.189522,44.520065",
Sedvi Tavern,5.0,5 reviews,"40.184029,44.513645",
Barcode,5.0,56 reviews,"40.182842,44.510372",
Karas National Food Chain,4.0,65 reviews,"40.174709,44.521091",
Aperitivo,4.5,147 reviews,"40.188770,44.515228",
Smak Salad,4.0,23 reviews,"40.189274,44.517197",
Basturma Cafe-Store,3.5,8 reviews,"40.180969,44.515499",
Mamulyan's Club,No rating,0 reviews,Not available,"Eznik Koghbatsi 51 10 Taracq, Yerevan 0013 Armenia"
Lagonid Bistro-Cafe,4.5,100 reviews,"40.183136,44.522511",
Tawouk,4.5,11 reviews,Not available,"Kokhbatsi str. 39, Yerevan 0010 Armenia"
Arabica,No rating,0 reviews,"40.181709,44.513027",
Monarch,4.5,14 reviews,"40.189171,44.521637",
Italiano Ristorante,4.0,7 reviews,"40.180695,44.515244",
Mr. Freeman - Bar & Eatery,No rating,0 reviews,"40.184410,44.510044",
Gastropolis,4.0,81 reviews,"40.175934,44.509903",
Mussa Restaurant & Cafe,No rating,0 reviews,"40.187206,44.509918",
Genacvale Pandok,4.5,108 reviews,"40.177692,44.503006",
Afrikyanneri Pandok,5.0,2 reviews,Not available,"Pushkina St., 1, Yerevan Armenia"
Zangezur Family Restaurant,4.5,27 reviews,"40.206699,44.527096",
Cascade Royal,4.0,133 reviews,"40.193089,44.514458",
Charlisa Cafe Bakery,3.0,4 reviews,"40.182346,44.515877",
InFusion Bar & Restaurant,5.0,1 review,"40.220470,44.494335",
Rostinni,5.0,2 reviews,"40.182949,44.516663",
Genacvale Pandok,4.0,18 reviews,"40.206367,44.506462",
Dukhov Hakhtanak Tchasharan,No rating,0 reviews,"40.171627,44.519241",
Mansarda,4.0,1 review,"40.188217,44.519718",
Cedar of Lebanon Armenia,4.5,9 reviews,Not available,"Abovyan str. 39, Yerevan 0009 Armenia"
Karloff Czech Brewery-Restaurant,4.0,47 reviews,"40.187729,44.514000",
Pizza Milano,4.5,3 reviews,Not available,"Arshakunyats ave 34/3 Yerevan mall, Yerevan 0026 Armenia"
Merhatsy Bakery,No rating,0 reviews,"40.200043,44.497723",
Roof18n,No rating,0 reviews,"40.188797,44.513676",
Oriento Restaurant,No rating,0 reviews,"40.182686,44.520504",
Ankyun,4.5,139 reviews,"40.178852,44.517624",
Mad Bar,No rating,0 reviews,"40.186123,44.517208",
Hin Areni Hall & Wine Bar,5.0,13 reviews,"40.183380,44.519608",
Ararat Pandok,5.0,15 reviews,"40.184727,44.517830",
Chinar restaurant,4.5,15 reviews,"40.188076,44.511681",
Fratelli Cafe,No rating,0 reviews,"40.205193,44.517330",
Zeituna,4.5,112 reviews,"40.189487,44.514332",
HyeLandz,4.5,25 reviews,"40.153336,44.650574",
Mimino Restaurant,4.0,58 reviews,"40.178341,44.524754",
Megerian Carpet Restaurant,4.5,17 reviews,"40.155251,44.494148",
Secret Garden,5.0,4 reviews,Not available,"Tsitsernakaberd Park 8, Yerevan 0013 Armenia"
Thai Take Away,No rating,0 reviews,"40.175652,44.519497",
Bar B.Q.,No rating,0 reviews,"40.182690,44.512817",
Beermood,No rating,0 reviews,"40.184135,44.519394",
Purple Rain Bar & Cafe,5.0,2 reviews,"40.181633,44.512608",
1st Floor,No rating,0 reviews,"40.181000,44.515736",
Masoor Restaurant,5.0,16 reviews,"40.177097,44.515713",
Mer Toune Restaurant,4.5,13 reviews,"40.174229,44.456203",
Grigoryan's,5.0,2 reviews,"40.153191,44.499470",
Yerevan Sky,No rating,0 reviews,"40.199375,44.476452",
Balatun,4.0,6 reviews,Not available,"Komitas ave 16, Yerevan 0012 Armenia"
Face Food,4.5,10 reviews,"40.169563,44.513130",
Purpur Indie Cafe,5.0,1 review,Not available,"Parpyetsi str. 16, Yerevan 0002 Armenia"
Life Food,5.0,18 reviews,"40.183456,44.504292",
Kamurj,4.5,2 reviews,"40.162407,44.512642",
Thaiwine Republic,4.5,42 reviews,"40.181110,44.514759",
Impresso Coffee Shop,4.0,78 reviews,"40.178768,44.517746",
Soho Place,5.0,4 reviews,"40.175453,44.521767",
Sabroso,4.0,6 reviews,"40.186157,44.516533",
