Hotel Names,Price,Rating,Rating Count,Nearby Resaurants,Nearby Attractions
Latar Hotel,Not available,4.0,22 reviews,None within walking distance,None within walking distance
California Boutique Hotel,"16,996",5.0,4 reviews,165 restaurants within walking distance.,36 attraction areas within walking distance.
Ani Central Inn,"28,342",4.0,7 reviews,10 restaurants within walking distance.,6 attraction areas within walking distance.
Armenian Royal Palace Hotel,Not available,3.5,57 reviews,None within walking distance,None within walking distance
Republic Square Hostel,"16,665",4.5,7 reviews,199 restaurants within walking distance.,42 attraction areas within walking distance.
Hotel For You,Not available,5.0,4 reviews,20 restaurants within walking distance.,3 attraction areas within walking distance.
Sweet Sleep Hostel,"5,828",5.0,4 reviews,None within walking distance,None within walking distance
Republic Square Boutique Hotel,"3,583",3.5,21 reviews,84 restaurants within walking distance.,23 attraction areas within walking distance.
Miami International Suite Hotel,"14,167",4.0,10 reviews,None within walking distance,None within walking distance
Golden Eagle Guesthouse,"15,007",4.0,11 reviews,117 restaurants within walking distance.,35 attraction areas within walking distance.
Museum Street Hotel,"66,000",5.0,3 reviews,208 restaurants within walking distance.,59 attraction areas within walking distance.
Villa Rosa,"11,250",4.0,14 reviews,69 restaurants within walking distance.,24 attraction areas within walking distance.
Sakharov Hostel,"3,622",4.0,14 reviews,143 restaurants within walking distance.,26 attraction areas within walking distance.
Mirage Hotel,Not available,4.5,5 reviews,None within walking distance,None within walking distance
Mini Hostel Tigranyan 5,Not available,5.0,4 reviews,26 restaurants within walking distance.,3 attraction areas within walking distance.
Eder Hostel,"6,243",5.0,3 reviews,191 restaurants within walking distance.,36 attraction areas within walking distance.
Yerevan Hostel,"15,836",4.0,6 reviews,136 restaurants within walking distance.,27 attraction areas within walking distance.
Bloor Hotel,"15,496",4.5,3 reviews,None within walking distance,None within walking distance
5 Rooms,Not available,4.0,5 reviews,92 restaurants within walking distance.,34 attraction areas within walking distance.
Palma Palace Hotel,"33,361",4.5,5 reviews,None within walking distance,None within walking distance
Guest House at Aygestana,Not available,5.0,3 reviews,109 restaurants within walking distance.,17 attraction areas within walking distance.
Hobby Hotel,"26,999",4.5,3 reviews,57 restaurants within walking distance.,14 attraction areas within walking distance.
Tora Palace,Not available,4.0,9 reviews,None within walking distance,None within walking distance
Garni Hinyard,"25,854",5.0,2 reviews,None within walking distance,None within walking distance
Aurora Hotel & Hostel,"25,011",4.0,5 reviews,206 restaurants within walking distance.,41 attraction areas within walking distance.
Teryan Pushkin Apart Hotel,Not available,5.0,2 reviews,248 restaurants within walking distance.,46 attraction areas within walking distance.
Alex Hotel,"12,495",5.0,2 reviews,28 restaurants within walking distance.,16 attraction areas within walking distance.
Gallery Apartments,"15,000",5.0,2 reviews,188 restaurants within walking distance.,51 attraction areas within walking distance.
Moscow Boutique Hotel,Not available,4.5,3 reviews,213 restaurants within walking distance.,46 attraction areas within walking distance.
Mango Hospitality,Not available,5.0,2 reviews,187 restaurants within walking distance.,44 attraction areas within walking distance.
Sochi Plaza Hotel,Not available,3.5,11 reviews,None within walking distance,None within walking distance
Cherry Hotel,Not available,4.0,3 reviews,12 restaurants within walking distance.,3 attraction areas within walking distance.
Home Hostel,Not available,5.0,1 review,None within walking distance,None within walking distance
North Avenue Loft Apartments,"48,008",5.0,1 review,263 restaurants within walking distance.,50 attraction areas within walking distance.
3/3 Appart Hotel,"49,952",5.0,1 review,152 restaurants within walking distance.,36 attraction areas within walking distance.
Balcon Boutique Hotel,Not available,3.5,6 reviews,119 restaurants within walking distance.,24 attraction areas within walking distance.
Chateau Gabriel,Not available,5.0,1 review,None within walking distance,None within walking distance
Hotel Merien,"9,594",5.0,1 review,11 restaurants within walking distance.,5 attraction areas within walking distance.
Inga Hotel Yerevan,Not available,5.0,1 review,12 restaurants within walking distance.,3 attraction areas within walking distance.
Garden Lounge Hotel,Not available,5.0,1 review,None within walking distance,None within walking distance
Apartment in Yerevan,Not available,5.0,1 review,None within walking distance,None within walking distance
Nork Hotel,"30,000",5.0,1 review,119 restaurants within walking distance.,34 attraction areas within walking distance.
Avant Garde Hotel,"25,020",4.5,2 reviews,None within walking distance,None within walking distance
Ara Hostel,Not available,5.0,5 reviews,18 restaurants within walking distance.,3 attraction areas within walking distance.
Prime Hotel & Hostel,Not available,3.5,20 reviews,111 restaurants within walking distance.,21 attraction areas within walking distance.
Globus hostel &Tours,"8,493",5.0,1 review,98 restaurants within walking distance.,13 attraction areas within walking distance.
Hostel Liberal,Not available,5.0,1 review,66 restaurants within walking distance.,10 attraction areas within walking distance.
Ask House,Not available,5.0,1 review,123 restaurants within walking distance.,43 attraction areas within walking distance.
Eridana Hotel,"6,667",4.0,2 reviews,None within walking distance,None within walking distance
Hostel Glass Tower,Not available,3.5,3 reviews,57 restaurants within walking distance.,4 attraction areas within walking distance.
Shree Gopal Gayatri Lok,"11,661",3.5,4 reviews,97 restaurants within walking distance.,36 attraction areas within walking distance.
Caucasus Wildlife Refuge,"16,670",5.0,1 review,None within walking distance,None within walking distance
Bonjour Boutique Hotel Yerevan,Not available,4.0,1 review,73 restaurants within walking distance.,15 attraction areas within walking distance.
Tempus Hotel-Hostel,Not available,3.5,2 reviews,208 restaurants within walking distance.,47 attraction areas within walking distance.
Cross Apartments and Tours,Not available,4.0,1 review,None within walking distance,None within walking distance
GS Hotel,"12,492",4.0,1 review,None within walking distance,None within walking distance
Argavand Hotel & Restaurant Complex,"6,667",3.5,2 reviews,None within walking distance,None within walking distance
Gyumri Hotel,Not available,3.5,2 reviews,None within walking distance,None within walking distance
Valensia Hotel,"18,939",3.0,22 reviews,736 restaurants within walking distance.,200 attraction areas within walking distance.
Hotel Ritzar,"18,338",3.0,4 reviews,None within walking distance,None within walking distance
Masiv Hostel,Not available,3.0,1 review,None within walking distance,None within walking distance
Rp Hotel,"7,792",2.5,3 reviews,734 restaurants within walking distance.,199 attraction areas within walking distance.
Aleppo Hotel,"13,339",3.0,4 reviews,None within walking distance,None within walking distance
Hotel MINI,Not available,3.0,12 reviews,216 restaurants within walking distance.,45 attraction areas within walking distance.
Tetatet Hotel,Not available,2.0,1 review,220 restaurants within walking distance.,46 attraction areas within walking distance.
Destiny 1 Hostel,Not available,2.0,1 review,179 restaurants within walking distance.,41 attraction areas within walking distance.
Brandy Factory Hotel,Not available,2.5,2 reviews,50 restaurants within walking distance.,22 attraction areas within walking distance.
Voyage Hotel,Not available,1.0,1 review,35 restaurants within walking distance.,11 attraction areas within walking distance.
Unique Hotel,"36,001",2.5,4 reviews,270 restaurants within walking distance.,47 attraction areas within walking distance.
Freedom Armenia,Not available,3.0,11 reviews,200 restaurants within walking distance.,48 attraction areas within walking distance.
Doss Hostel & Hotel,Not available,2.5,3 reviews,74 restaurants within walking distance.,11 attraction areas within walking distance.
Nork Residence Hotel,Not available,3.0,35 reviews,None within walking distance,None within walking distance
Moscow House Hotel,"22,676",3.0,4 reviews,14 restaurants within walking distance.,8 attraction areas within walking distance.
AnnaBella Boutique Hotel,Not available,4.0,3 reviews,19 restaurants within walking distance.,2 attraction areas within walking distance.
White House Hotel,"20,006",2.0,2 reviews,None within walking distance,None within walking distance
Kamurj Apart Hotel,Not available,1.0,1 review,19 restaurants within walking distance.,10 attraction areas within walking distance.
AREVA Hostel,Not available,1.0,1 review,130 restaurants within walking distance.,33 attraction areas within walking distance.
Palma Hotel,Not available,No rating,0 reviews,None within walking distance,None within walking distance
All Seasons Hostel,Not available,5.0,2 reviews,37 restaurants within walking distance.,12 attraction areas within walking distance.
Old Yerevan Hostel and Tours,Not available,2.5,8 reviews,22 restaurants within walking distance.,8 attraction areas within walking distance.
Bella Hotel,"12,500",1.5,5 reviews,None within walking distance,None within walking distance
Hotel Bastille,"49,992",No rating,0 reviews,None within walking distance,None within walking distance
Viaggio Hotel,"15,748",No rating,0 reviews,None within walking distance,None within walking distance
Komitas Apartament,Not available,No rating,0 reviews,None within walking distance,None within walking distance
Boutique Living Hotel,Not available,No rating,0 reviews,191 restaurants within walking distance.,33 attraction areas within walking distance.
CheckInArmenia,Not available,No rating,0 reviews,None within walking distance,None within walking distance
Guest House Yerevan,Not available,No rating,0 reviews,None within walking distance,None within walking distance
2 Room Place for Stay,Not available,No rating,0 reviews,None within walking distance,None within walking distance
Baaz Hostel,Not available,No rating,0 reviews,None within walking distance,None within walking distance
Amiryan Apart &Tours,Not available,No rating,0 reviews,None within walking distance,None within walking distance
Residence Yezeguelian,Not available,No rating,0 reviews,None within walking distance,None within walking distance
Mirage Guest House,Not available,No rating,0 reviews,122 restaurants within walking distance.,35 attraction areas within walking distance.
Apartment in the Center,Not available,No rating,0 reviews,None within walking distance,None within walking distance
Apartament,Not available,No rating,0 reviews,10 restaurants within walking distance.,7 attraction areas within walking distance.
Andor Hotel,"6,825",No rating,0 reviews,146 restaurants within walking distance.,31 attraction areas within walking distance.
S & J - Hostel,Not available,No rating,0 reviews,None within walking distance,None within walking distance
All In Hostel,Not available,No rating,0 reviews,None within walking distance,None within walking distance
Apartment Arami (New Building),Not available,No rating,0 reviews,None within walking distance,None within walking distance
XY Hotel,"28,016",No rating,0 reviews,10 restaurants within walking distance.,2 attraction areas within walking distance.
Hhoonj Villas and Apartments,"19,844",No rating,0 reviews,168 restaurants within walking distance.,33 attraction areas within walking distance.
Otel' I Spa Vanadzor Armeniya,"12,495",No rating,0 reviews,None within walking distance,None within walking distance
Georgia Hotel,"10,837",No rating,0 reviews,None within walking distance,None within walking distance
Hotel Fleur,Not available,No rating,0 reviews,102 restaurants within walking distance.,25 attraction areas within walking distance.
Apartment In The Center Of Yerevan,"37,506",No rating,0 reviews,222 restaurants within walking distance.,48 attraction areas within walking distance.
Nikolos Apartments,Not available,No rating,0 reviews,21 restaurants within walking distance.,4 attraction areas within walking distance.
Noy Hostel Yerevan,Not available,No rating,0 reviews,19 restaurants within walking distance.,1 attraction areas within walking distance.
AMA Hotel,Not available,No rating,0 reviews,None within walking distance,None within walking distance
Nordstrom - Hostel,Not available,No rating,0 reviews,None within walking distance,None within walking distance
Kochar Garden Hotel Yerevan,Not available,No rating,0 reviews,None within walking distance,None within walking distance
Luys Hostel & Guest House,Not available,No rating,0 reviews,None within walking distance,None within walking distance
Zevs,Not available,No rating,0 reviews,83 restaurants within walking distance.,31 attraction areas within walking distance.
Opera & Republic Square Apartments,Not available,No rating,0 reviews,159 restaurants within walking distance.,57 attraction areas within walking distance.
Yerevan Center Hostel,Not available,No rating,0 reviews,None within walking distance,None within walking distance
Apart hotel Alex,Not available,No rating,0 reviews,37 restaurants within walking distance.,1 attraction areas within walking distance.
Hotel Sem,"12,495",No rating,0 reviews,163 restaurants within walking distance.,51 attraction areas within walking distance.
New Yerevan,"3,607",No rating,0 reviews,111 restaurants within walking distance.,37 attraction areas within walking distance.
Tork Residence,Not available,No rating,0 reviews,None within walking distance,None within walking distance
Guest House 47,"5,250",No rating,0 reviews,None within walking distance,None within walking distance
Hotel Apartment Family,Not available,No rating,0 reviews,163 restaurants within walking distance.,35 attraction areas within walking distance.
Holiday Home On Aygestan 11,"13,744",No rating,0 reviews,None within walking distance,None within walking distance
Metax House Yerevan,Not available,No rating,0 reviews,None within walking distance,None within walking distance
SV Hotel,Not available,No rating,0 reviews,None within walking distance,None within walking distance
Green Garden,Not available,No rating,0 reviews,None within walking distance,None within walking distance
Cascade Apartments By Kentron,Not available,No rating,0 reviews,139 restaurants within walking distance.,44 attraction areas within walking distance.
